roll_no,name,gender,city,department,semester,study_hours_per_day,sleep_hours,attendance_pct,prev_gpa,assignment_score,quiz_avg,lab_score,participation_score,stress_level,internet_hours,part_time_job,family_support,commute_hours,health_score,extracurricular,final_score,grade,final_gpa,outcome
STU-0026,Zara Iqbal,Male,Karachi,CS,7,7.7,6.1,96.3,3.34,97.3,67.6,63.5,4.6,5.4,2.6,1,9.5,1.6,4.1,0,60.0,C,2.0,At-Risk
STU-0027,Nadia Iqbal,Male,Lahore,BBA,4,3.9,7.7,80.4,3.69,67.3,69.2,70.1,5.8,5.5,6.9,1,8.6,1.5,9.4,0,16.5,F,0.0,Fail
STU-0028,Ali Ali,Male,Karachi,Med,6,8.0,6.4,72.6,2.7,87.4,91.6,80.5,5.4,4.8,2.3,0,7.0,1.2,7.8,1,59.8,D,1.0,At-Risk
STU-0029,Tariq Malik,Male,Islamabad,Med,7,6.3,8.1,83.7,3.08,80.0,52.1,77.6,3.8,2.4,5.5,1,6.8,1.0,8.4,0,44.3,F,0.0,Fail
STU-0030,Amna Hassan,Female,Islamabad,BBA,3,9.1,9.3,88.3,3.43,84.7,71.5,68.1,6.0,6.2,4.8,1,6.7,0.3,6.9,0,78.8,B+,3.5,Pass
STU-0031,Hina Iqbal,Female,Islamabad,BBA,8,5.5,8.5,65.4,2.42,51.0,73.7,91.3,7.3,4.9,4.3,0,5.4,1.1,5.4,0,14.0,F,0.0,Fail
STU-0032,Ahmed Khan,Male,Islamabad,CS,6,8.7,8.4,74.0,3.01,83.5,69.8,91.1,3.3,6.1,4.1,1,5.9,2.2,7.1,0,56.2,D,1.0,At-Risk
STU-0033,Hassan Khan,Male,Multan,Med,8,5.0,8.4,65.3,3.8,76.6,89.6,65.4,7.0,1.8,2.6,0,8.9,0.9,7.0,1,61.5,C,2.0,At-Risk
STU-0034,Maria Hassan,Female,Lahore,Civil,7,3.7,7.9,81.8,3.75,71.7,52.7,77.8,2.9,2.3,4.8,1,9.6,0.7,6.1,1,30.4,F,0.0,Fail
STU-0035,Tariq Ahmed,Male,Islamabad,CS,4,7.9,9.3,88.7,2.94,95.0,78.7,94.4,7.7,5.1,3.7,0,9.0,2.2,5.5,1,75.0,B+,3.5,Pass
STU-0036,Rabia Iqbal,Female,Multan,CS,6,4.3,9.6,91.3,3.9,83.3,82.2,67.1,8.4,3.8,5.4,0,7.1,0.7,4.0,1,78.0,B+,3.5,Pass
STU-0037,Ayesha Ali,Male,Islamabad,EE,2,4.1,7.3,92.6,3.36,63.1,88.1,70.4,6.2,4.7,7.5,1,8.3,2.2,9.8,0,26.8,F,0.0,Fail
STU-0038,Sana Sheikh,Female,Multan,CS,6,9.0,8.8,87.5,3.18,80.8,72.6,81.2,4.6,2.9,2.1,0,5.3,0.5,5.8,0,95.7,A+,4.0,Pass
STU-0039,Tariq Sheikh,Male,Karachi,Mech,2,6.3,7.6,87.8,3.5,96.1,64.4,70.2,5.1,6.2,5.3,0,5.3,1.6,9.3,0,44.7,F,0.0,Fail
STU-0040,Ahmed Chaudhry,Female,Karachi,Med,1,7.6,8.4,92.7,2.48,93.4,68.8,90.2,6.5,6.3,2.5,1,8.4,2.1,8.4,0,54.0,D,1.0,At-Risk
STU-0041,Bilal Chaudhry,Male,Multan,Mech,5,7.5,6.8,63.6,3.07,48.2,79.4,85.7,5.5,2.6,5.5,0,5.3,1.9,6.8,0,38.5,F,0.0,Fail
STU-0042,Usman Khan,Female,Karachi,Mech,6,7.8,5.4,68.0,3.33,98.7,58.8,71.9,2.4,1.1,6.1,0,7.4,1.1,8.2,0,52.1,D,1.0,At-Risk
STU-0043,Imran Chaudhry,Male,Karachi,CS,3,6.4,8.9,90.6,3.16,81.5,84.9,87.2,3.9,4.5,5.7,0,8.8,0.4,7.3,0,64.1,C,2.0,At-Risk
STU-0044,Kamran Iqbal,Male,Karachi,Civil,8,2.7,7.5,80.8,2.62,90.3,36.8,95.5,5.3,1.6,3.3,0,9.0,1.1,7.3,0,8.9,F,0.0,Fail
STU-0045,Ayesha Chaudhry,Female,Lahore,EE,1,4.5,7.8,69.8,2.57,82.5,74.9,76.5,4.9,5.5,2.5,0,8.5,2.8,9.2,1,14.1,F,0.0,Fail
STU-0046,Hassan Malik,Male,Lahore,Civil,6,5.3,6.2,72.3,2.63,77.1,69.1,72.4,5.9,2.7,4.0,0,8.4,2.5,3.9,1,29.4,F,0.0,Fail
STU-0047,Faisal Iqbal,Male,Islamabad,EE,2,8.8,9.6,92.1,3.85,79.5,66.1,90.3,3.5,5.6,3.4,1,2.7,0.5,8.5,0,81.4,A,4.0,Pass
STU-0048,Rabia Butt,Male,Karachi,CS,3,8.6,8.6,89.6,3.41,83.8,67.3,96.0,4.0,5.7,3.0,0,7.2,0.4,8.1,0,75.3,B+,3.5,Pass
STU-0049,Rabia Iqbal,Female,Lahore,EE,2,3.9,9.3,93.7,2.86,73.5,44.4,88.0,6.3,4.8,4.5,1,7.5,0.8,8.0,0,26.1,F,0.0,Fail
STU-0050,Omar Malik,Male,Lahore,EE,7,6.0,7.6,91.5,3.03,47.5,57.1,88.2,4.5,4.3,1.0,1,9.0,1.0,6.3,1,30.9,F,0.0,Fail
STU-0051,Hina Khan,Male,Multan,EE,8,9.5,7.2,78.1,2.71,76.2,90.2,87.1,3.0,4.3,3.3,0,9.4,3.1,7.8,0,71.5,B,3.0,Pass
STU-0052,Usman Iqbal,Female,Lahore,EE,4,7.0,6.2,79.0,3.28,85.3,46.5,78.4,4.6,3.4,5.2,0,9.2,1.2,6.5,0,60.2,C,2.0,At-Risk
STU-0053,Maria Khan,Male,Lahore,Med,6,7.5,9.2,79.4,2.81,84.2,97.9,67.7,4.8,4.2,4.1,0,8.0,1.1,8.8,1,57.4,D,1.0,At-Risk
STU-0054,Usman Khan,Male,Quetta,CS,8,7.6,7.0,89.8,2.55,58.6,82.3,84.5,6.4,1.6,3.5,1,4.4,2.5,8.8,0,53.7,D,1.0,At-Risk
STU-0055,Ali Malik,Male,Peshawar,EE,1,7.4,7.7,55.7,3.45,89.7,62.2,73.8,6.4,3.8,1.8,0,4.6,0.1,9.6,1,48.2,F,0.0,Fail
STU-0056,Ahmed Iqbal,Male,Lahore,EE,8,5.9,7.8,89.4,2.46,86.6,84.7,79.5,5.3,3.5,3.5,0,7.8,0.9,8.1,1,67.0,C+,2.5,At-Risk
STU-0057,Maria Butt,Female,Lahore,Med,1,3.5,7.7,93.6,1.36,96.5,72.0,85.4,7.3,4.4,1.7,1,8.2,1.4,6.5,0,35.3,F,0.0,Fail
STU-0058,Rabia Ahmed,Female,Multan,Civil,4,8.1,7.3,93.0,2.61,79.9,62.7,75.9,8.2,3.0,2.2,0,9.0,3.1,9.1,1,75.6,B+,3.5,Pass
STU-0059,Sana Hassan,Female,Karachi,Civil,4,8.0,7.8,81.8,3.13,89.3,80.9,74.7,3.5,4.5,3.3,0,9.0,0.4,8.2,1,68.0,C+,2.5,At-Risk
STU-0060,Hina Hassan,Male,Islamabad,EE,3,4.8,9.1,72.6,2.79,95.2,66.4,69.2,2.6,4.7,6.7,1,9.0,0.2,9.5,1,26.6,F,0.0,Fail
STU-0061,Fatima Butt,Male,Multan,EE,3,9.2,8.8,97.2,2.89,71.0,53.5,92.0,3.7,8.5,6.2,0,8.2,0.2,6.2,1,65.3,C+,2.5,At-Risk
STU-0062,Rabia Malik,Female,Peshawar,BBA,6,1.9,8.7,95.3,3.77,92.0,75.8,57.6,5.0,5.4,1.3,1,6.3,1.5,7.7,1,37.7,F,0.0,Fail
STU-0063,Omar Iqbal,Male,Multan,CS,7,2.1,4.7,83.4,3.1,87.9,74.0,91.2,5.3,6.0,4.6,0,9.3,1.2,4.3,1,6.7,F,0.0,Fail
STU-0064,Hina Butt,Female,Karachi,Mech,4,3.7,8.6,85.1,1.87,82.6,78.1,75.7,7.8,6.1,1.4,0,9.2,2.4,8.2,1,20.8,F,0.0,Fail
STU-0065,Zara Ali,Female,Lahore,BBA,7,5.5,5.7,89.8,3.12,83.7,79.1,66.0,8.3,3.4,4.2,0,4.9,0.9,4.6,1,57.7,D,1.0,At-Risk
STU-0066,Usman Chaudhry,Male,Islamabad,Civil,5,6.8,6.4,87.3,2.98,86.5,90.2,73.0,7.6,4.4,7.3,0,9.2,0.7,7.1,0,66.6,C+,2.5,At-Risk
STU-0067,Ahmed Hussain,Male,Karachi,Mech,1,6.1,7.6,92.0,3.36,69.1,86.7,46.2,5.4,3.1,2.9,1,6.3,1.3,4.6,1,44.3,F,0.0,Fail
STU-0068,Fatima Iqbal,Female,Islamabad,EE,7,6.7,8.1,73.5,2.79,73.6,77.4,79.7,1.6,5.4,4.3,0,7.5,2.4,8.3,1,48.5,F,0.0,Fail
STU-0069,Zara Hassan,Female,Multan,Mech,1,5.7,8.9,81.9,2.86,86.5,47.7,76.3,7.4,2.5,5.1,0,8.8,2.6,5.7,0,41.0,F,0.0,Fail
STU-0070,Hassan Iqbal,Male,Lahore,CS,3,8.9,8.3,80.2,2.48,80.2,87.3,71.4,3.9,5.9,3.4,1,7.0,2.1,7.8,1,39.5,F,0.0,Fail
STU-0071,Rabia Malik,Male,Peshawar,Civil,7,5.1,7.6,71.8,3.63,63.3,47.7,66.5,4.1,4.7,4.5,1,6.4,1.9,9.3,0,10.1,F,0.0,Fail
STU-0072,Hassan Malik,Female,Karachi,EE,7,5.7,9.2,92.0,3.75,75.4,84.2,93.3,1.3,2.7,3.2,0,8.8,1.1,8.6,1,89.3,A+,4.0,Pass
STU-0073,Maria Chaudhry,Female,Lahore,EE,6,4.4,8.4,82.6,3.44,62.9,58.5,62.5,8.0,7.0,4.0,1,6.5,1.6,6.2,0,25.7,F,0.0,Fail
STU-0074,Kamran Iqbal,Male,Islamabad,EE,1,6.6,7.8,83.7,3.05,84.2,85.6,67.6,7.3,5.6,3.2,1,5.6,2.2,8.3,1,55.1,D,1.0,At-Risk
STU-0075,Amna Sheikh,Male,Karachi,BBA,6,8.3,7.2,73.6,1.73,61.9,81.7,90.8,5.8,3.3,3.1,0,6.9,2.1,4.2,0,44.7,F,0.0,Fail
STU-0076,Faisal Malik,Male,Lahore,BBA,4,9.3,9.6,85.0,3.3,66.9,67.0,88.3,6.4,4.1,1.4,0,8.0,0.8,7.3,1,96.7,A+,4.0,Pass
STU-0077,Hina Hassan,Male,Islamabad,Med,4,7.2,6.0,89.1,3.36,95.5,70.9,60.4,4.9,5.2,5.4,0,7.7,0.4,6.8,1,56.3,D,1.0,At-Risk
STU-0078,Hassan Chaudhry,Male,Multan,Mech,6,7.0,9.5,97.7,3.19,84.4,84.6,82.8,3.7,3.6,1.7,1,5.8,0.3,7.2,1,69.7,C+,2.5,At-Risk
STU-0079,Faisal Khan,Male,Lahore,CS,6,5.5,7.6,94.3,3.3,93.1,69.1,81.9,3.7,5.9,3.5,0,6.7,1.1,7.7,0,47.4,F,0.0,Fail
STU-0080,Zara Chaudhry,Male,Islamabad,Civil,1,7.2,7.9,78.6,2.96,82.3,48.1,68.6,6.6,8.1,1.6,0,7.5,0.5,7.4,0,47.5,F,0.0,Fail
STU-0081,Zara Khan,Male,Multan,EE,1,5.1,7.6,75.3,3.64,77.6,90.0,87.4,8.3,3.6,3.2,0,6.6,0.8,5.5,1,67.4,C+,2.5,At-Risk
STU-0082,Amna Chaudhry,Female,Islamabad,Civil,7,7.3,8.0,85.6,3.22,73.1,74.7,74.6,3.5,1.2,2.1,0,7.5,1.4,6.7,0,77.4,B+,3.5,Pass
STU-0083,Tariq Khan,Female,Islamabad,CS,8,6.3,7.1,77.8,3.54,50.3,54.1,64.9,4.9,3.1,4.5,0,9.1,2.4,7.5,1,53.1,D,1.0,At-Risk
STU-0084,Bilal Hassan,Female,Islamabad,CS,3,7.3,8.1,84.4,3.21,62.7,69.2,88.9,4.6,3.9,2.3,1,5.5,0.8,7.9,0,64.7,C,2.0,At-Risk
STU-0085,Kamran Ali,Male,Karachi,BBA,5,8.7,8.0,81.8,3.66,70.3,81.9,83.8,7.2,2.7,4.6,1,5.4,0.3,6.7,0,90.7,A+,4.0,Pass
STU-0086,Usman Sheikh,Female,Lahore,CS,6,4.2,8.6,81.9,2.38,70.7,85.8,75.1,6.0,4.7,1.5,0,7.1,2.0,8.6,0,31.7,F,0.0,Fail
STU-0087,Usman Iqbal,Female,Karachi,Mech,1,6.8,7.1,83.0,3.13,75.4,74.1,46.4,5.0,4.9,3.1,0,6.6,0.5,9.2,1,49.5,F,0.0,Fail
STU-0088,Tariq Hussain,Male,Karachi,Civil,1,6.1,9.0,86.1,3.48,96.9,50.2,96.3,3.6,3.3,3.9,1,9.5,0.3,6.3,1,67.5,C+,2.5,At-Risk
STU-0089,Nadia Hassan,Male,Islamabad,BBA,2,6.9,8.8,85.1,2.22,59.2,57.8,78.7,6.6,4.9,4.3,0,6.5,1.6,7.5,0,27.7,F,0.0,Fail
STU-0090,Hassan Hussain,Male,Lahore,CS,2,7.1,7.9,80.0,3.53,82.7,91.0,75.4,7.6,2.9,6.5,1,5.7,2.2,8.8,0,50.4,D,1.0,At-Risk
STU-0091,Hassan Chaudhry,Female,Islamabad,EE,7,7.1,7.5,91.5,2.99,81.0,58.2,65.6,5.4,2.6,4.1,0,6.9,0.7,7.3,1,76.0,B+,3.5,Pass
STU-0092,Faisal Hassan,Female,Quetta,Med,3,8.6,8.6,91.0,2.95,91.3,81.2,79.3,4.0,6.9,7.2,0,5.6,1.9,6.8,0,57.2,D,1.0,At-Risk
STU-0093,Usman Butt,Female,Karachi,BBA,6,8.9,8.4,92.3,2.81,69.8,75.1,91.9,7.7,6.2,3.5,0,4.2,2.0,9.4,1,72.4,B,3.0,Pass
STU-0094,Fatima Hassan,Male,Karachi,Med,3,5.6,7.7,80.0,1.67,94.6,70.5,68.1,3.8,2.7,5.6,0,7.3,1.3,3.8,1,22.8,F,0.0,Fail
STU-0095,Faisal Butt,Male,Lahore,Civil,5,4.5,5.4,88.6,3.0,60.7,70.2,86.6,6.1,1.8,4.5,1,8.5,2.7,8.0,0,29.1,F,0.0,Fail
STU-0096,Zara Hussain,Female,Islamabad,Med,6,3.9,7.8,90.8,2.33,77.7,88.1,74.0,4.6,2.8,5.0,0,7.9,3.1,7.4,1,22.8,F,0.0,Fail
STU-0097,Fatima Chaudhry,Female,Islamabad,EE,5,9.2,7.4,79.4,3.37,77.0,73.1,89.8,6.9,5.1,1.5,1,6.0,1.7,5.7,1,66.5,C+,2.5,At-Risk
STU-0098,Hassan Khan,Male,Multan,BBA,6,4.5,8.5,76.4,2.6,90.8,70.3,87.8,4.2,5.2,2.8,1,6.7,0.1,8.4,1,15.5,F,0.0,Fail
STU-0099,Bilal Hussain,Female,Lahore,EE,2,5.9,9.2,81.7,3.03,66.2,89.6,88.2,4.1,3.3,2.6,0,6.6,1.7,6.8,0,54.9,D,1.0,At-Risk
STU-0100,Ali Ali,Female,Karachi,Mech,7,6.3,9.4,94.5,3.24,89.7,77.9,61.2,5.4,7.7,3.1,0,6.8,3.1,9.5,1,68.2,C+,2.5,At-Risk
STU-0101,Usman Sheikh,Female,Peshawar,BBA,3,5.2,6.2,92.2,2.87,90.3,91.2,82.5,5.6,5.3,3.1,0,7.4,2.6,8.7,0,50.8,D,1.0,At-Risk
STU-0102,Hassan Ali,Female,Lahore,CS,1,6.5,7.8,98.2,2.7,86.7,92.1,76.6,3.1,6.5,2.2,0,5.3,2.2,5.7,0,42.3,F,0.0,Fail
STU-0103,Bilal Ahmed,Male,Quetta,BBA,8,9.1,6.9,84.2,3.15,89.1,71.8,74.4,6.6,2.4,4.5,0,6.8,0.8,5.1,1,80.9,A,4.0,Pass
STU-0104,Fatima Ali,Female,Islamabad,Mech,7,2.1,8.1,96.6,2.73,89.4,52.7,90.9,6.8,5.3,2.4,1,3.9,2.3,7.7,1,17.6,F,0.0,Fail
STU-0105,Ali Hussain,Male,Multan,Civil,5,4.8,9.6,95.3,3.24,91.0,52.2,87.3,4.4,5.1,5.8,1,8.9,0.7,5.7,1,51.4,D,1.0,At-Risk
STU-0106,Fatima Sheikh,Male,Karachi,Med,8,5.6,9.2,91.3,3.34,65.1,75.2,71.6,4.5,3.3,1.9,0,7.3,0.9,7.2,1,54.7,D,1.0,At-Risk
STU-0107,Usman Butt,Male,Karachi,EE,6,7.6,5.4,77.7,3.85,79.5,83.2,80.8,5.2,3.4,4.8,0,8.0,1.4,6.9,1,63.3,C,2.0,At-Risk
STU-0108,Fatima Sheikh,Male,Quetta,CS,3,4.0,9.3,83.4,3.88,78.4,70.8,93.0,5.5,3.3,4.4,0,8.7,1.3,8.5,1,53.1,D,1.0,At-Risk
STU-0109,Imran Ahmed,Female,Karachi,BBA,2,6.4,7.5,71.6,2.58,61.9,56.3,81.6,5.6,1.2,2.7,0,7.5,1.5,5.9,0,40.4,F,0.0,Fail
STU-0110,Usman Sheikh,Male,Islamabad,BBA,4,4.9,8.7,97.6,2.4,90.7,73.1,90.5,4.9,5.1,4.0,0,7.3,1.9,8.9,0,33.6,F,0.0,Fail
STU-0111,Fatima Butt,Male,Lahore,BBA,1,7.0,8.5,67.7,3.9,82.9,67.5,76.2,3.1,2.5,2.5,1,3.4,0.3,7.5,0,49.4,F,0.0,Fail
STU-0112,Ali Iqbal,Female,Islamabad,EE,2,5.7,6.9,86.0,2.68,85.2,87.2,95.6,5.7,4.1,3.9,0,7.7,1.8,6.2,1,51.6,D,1.0,At-Risk
STU-0113,Amna Malik,Male,Karachi,CS,7,4.4,9.2,73.4,3.45,93.3,66.2,69.4,5.1,2.8,2.5,0,8.3,2.1,7.0,0,59.4,D,1.0,At-Risk
STU-0114,Sara Ahmed,Male,Islamabad,CS,5,7.9,8.7,84.8,2.82,96.7,64.3,75.7,5.8,4.7,3.3,0,6.9,1.1,7.7,0,63.1,C,2.0,At-Risk
STU-0115,Bilal Khan,Female,Karachi,Civil,4,8.3,8.1,83.3,3.2,54.5,47.4,81.5,6.3,5.9,6.8,0,4.2,1.0,4.4,0,46.1,F,0.0,Fail
STU-0116,Hassan Khan,Female,Karachi,CS,6,7.2,7.9,83.7,1.77,83.0,75.0,91.1,4.8,4.0,4.4,0,4.7,0.3,4.5,0,28.1,F,0.0,Fail
STU-0117,Ali Sheikh,Male,Islamabad,CS,4,9.1,7.3,98.3,3.37,75.6,54.1,88.6,4.1,2.6,2.5,0,5.0,1.4,9.7,0,83.1,A,4.0,Pass
STU-0118,Ali Ahmed,Male,Peshawar,CS,3,5.3,8.6,84.3,1.8,83.9,52.2,73.5,8.4,4.6,6.0,0,7.9,0.4,3.3,0,7.8,F,0.0,Fail
STU-0119,Omar Ahmed,Male,Islamabad,BBA,2,7.3,6.3,64.2,3.54,70.1,76.4,83.5,3.1,5.6,5.3,1,7.7,0.5,7.3,1,42.0,F,0.0,Fail
STU-0120,Hassan Malik,Female,Lahore,BBA,8,5.2,7.7,71.8,3.28,81.7,83.3,85.5,6.8,4.8,2.7,0,8.1,1.5,8.2,0,44.4,F,0.0,Fail
STU-0121,Faisal Ali,Male,Lahore,Med,7,7.7,8.2,82.7,2.95,90.4,73.5,56.8,9.0,1.8,2.6,1,8.4,0.4,9.5,0,79.7,B+,3.5,Pass
STU-0122,Fatima Ahmed,Male,Karachi,Civil,4,6.7,8.2,83.4,2.69,79.9,74.1,88.9,4.4,3.8,7.4,0,9.2,0.5,4.6,1,45.9,F,0.0,Fail
STU-0123,Nadia Khan,Male,Karachi,EE,3,7.8,8.5,72.7,3.09,81.7,85.5,66.2,6.2,2.2,2.5,0,9.1,1.4,5.1,0,81.8,A,4.0,Pass
STU-0124,Usman Khan,Male,Karachi,BBA,1,4.3,7.3,80.5,3.65,74.0,86.8,56.6,3.0,3.0,6.7,0,8.3,2.5,5.9,1,30.6,F,0.0,Fail
STU-0125,Sara Chaudhry,Male,Karachi,CS,7,8.1,8.2,93.1,2.79,70.4,53.5,70.8,5.8,6.6,4.0,1,3.2,2.8,7.0,1,34.5,F,0.0,Fail
STU-0126,Hina Iqbal,Female,Lahore,CS,7,9.1,8.2,82.5,3.58,85.8,50.5,93.5,8.3,4.0,3.8,0,7.8,2.1,6.6,1,84.4,A,4.0,Pass
STU-0127,Ahmed Hussain,Female,Islamabad,Civil,4,2.1,7.2,89.4,3.1,82.3,77.1,75.4,6.7,2.0,5.0,1,4.8,1.8,7.4,0,20.7,F,0.0,Fail
STU-0128,Hina Hussain,Female,Islamabad,Civil,5,2.7,5.5,77.7,3.09,76.6,68.9,90.6,4.8,2.9,4.8,1,4.8,0.6,8.3,0,13.1,F,0.0,Fail
STU-0129,Rabia Hassan,Female,Islamabad,Mech,7,8.6,7.9,77.8,3.2,92.8,70.3,58.4,4.0,4.0,2.8,0,6.2,0.5,7.6,0,62.7,C,2.0,At-Risk
STU-0130,Sana Ahmed,Female,Karachi,Med,5,5.4,5.8,77.0,2.45,88.0,93.1,74.4,6.1,1.6,4.9,0,8.5,0.6,7.4,1,47.3,F,0.0,Fail
STU-0131,Sara Chaudhry,Female,Peshawar,EE,4,6.0,8.7,93.9,2.66,87.5,81.0,55.8,5.6,5.2,7.3,0,6.2,0.3,8.1,1,51.7,D,1.0,At-Risk
STU-0132,Nadia Hussain,Female,Peshawar,Civil,3,3.3,6.7,85.2,3.28,77.5,46.4,75.5,8.8,3.6,5.2,0,6.7,1.0,7.6,1,41.8,F,0.0,Fail
STU-0133,Omar Butt,Male,Quetta,BBA,5,6.1,8.5,95.5,2.24,94.8,85.1,54.1,5.1,5.7,2.7,0,4.4,0.6,6.6,1,53.1,D,1.0,At-Risk
STU-0134,Omar Butt,Male,Lahore,Med,1,7.4,8.4,85.8,2.3,77.4,90.0,96.1,6.4,2.9,5.4,0,8.4,3.0,4.2,1,62.3,C,2.0,At-Risk
STU-0135,Ali Ahmed,Male,Multan,Civil,5,8.7,9.4,67.9,3.5,85.0,67.2,72.7,5.4,5.5,3.7,1,5.5,1.7,5.4,1,68.1,C+,2.5,At-Risk
STU-0136,Imran Butt,Female,Karachi,BBA,4,9.6,8.6,84.6,3.65,90.5,59.5,56.2,6.4,5.8,4.7,1,4.0,0.5,7.5,1,64.6,C,2.0,At-Risk
STU-0137,Ayesha Hussain,Female,Quetta,Med,1,3.5,7.6,71.2,2.8,69.9,81.4,90.0,5.0,5.7,5.4,0,7.2,2.0,7.9,0,21.9,F,0.0,Fail
STU-0138,Ayesha Iqbal,Male,Lahore,Med,6,5.9,7.2,89.6,3.76,69.6,64.0,89.1,3.7,3.8,4.1,0,7.7,1.3,5.8,0,55.9,D,1.0,At-Risk
